pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"HZ_4FP 12/12"|"GB-0129",1,"112,5/112,5/28"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Шкафчик"|"Гербор"
"HPEG_4FP 12/12"|"GB-0130",1,"113/113/37,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Шкафчик"|"Гербор"
"HREG_S 22/6"|"GB-0131",1,"58/222,5/37,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Пенал"|"Гербор"
"HFD 1616/520"|"GB-0132",1,,,"Дорс"|"Фасад"|"Гербор"
"HFD 520/520"|"GB-0133",1,,,"Дорс"|"Фасад"|"Гербор"
"HFV 1616/520"|"GB-0134",1,,,"Дорс"|"Фасад"|"Гербор"
"HPEG_P 22/6"|"GB-0135",1,"58/222,5/37,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Пенал"|"Гербор"
"HREG_P 22/12"|"GB-0136",1,"113/222,5/37,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Пенал"|"Гербор"
"HREG_S 22/6"|"GB-0137",1,"113/222,5/37,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Пенал"|"Гербор"
"КОМОД "|"GB-0138",1,"76/86/44,5"|"Клен нида"|"Дрим"|"комод"|"Гербор"
"140_k+(ламель)"|"GB-0139",1,"158,5/39,5-85,5/218,5"|"Клен нида"|"Дрим"|"Кровать"|"Гербор"
"160_k+(ламель)"|"GB-0140",1,"177/39,5-85,5/218,5"|"Клен нида"|"Дрим"|"Кровать"|"Гербор"
"180_k+(ламель)"|"GB-0141",1,"199/39,5-85,5/218,5"|"Клен нида"|"Дрим"|"Кровать"|"Гербор"
"Стол туалетный"|"GB-0142",1,"103/87,5/39,5-36,5"|"Клен нида"|"Дрим"|"Столы"|"Гербор"
"Шкаф платяной 3D_k"|"GB-0143",1,"150/2109/60,5"|"Клен нида"|"Дрим"|"Шкаф"|"Гербор"
"Шкаф платняой 4D_k"|"GB-0144",1,"200/2109/60,5"|"Клен нида"|"Дрим"|"Шкаф"|"Гербор"
"Зеркало"|"GB-0145",1,"72/76"|"Клен нида"|"Дрим"|"Зеркало"|"Гербор"
"Тумба прикроватная "|"GB-0146",1,"45/46,5/36,5"|"Клен нида"|"Дрим"|"Тумба"|"Гербор"
"Изольда"|"GB-0147",1,"299/214/52"|"Ольха медовая/орех аоста темный"|"Изольда"|"Гостинная"|"Гербор"
"2D2S 80"|"GB-0148",1,"80/81,5/40"|"Бук татра"|"Инди"|"комод"|"Гербор"
"4S 80"|"GB-0149",1,"80/81,5/40"|"Бук татра"|"Инди"|"комод"|"Гербор"
"4S 50"|"GB-0150",1,"50/81,5/40"|"Бук татра"|"Инди"|"комод"|"Гербор"
"Кровать 90 (каркас)"|"GB-0151",1,"97,5/79,5-49,5/206,5"|"Бук татра"|"Инди"|"Кровать"|"Гербор"
"Стол письменный 120"|"GB-0152",1,"120/81/65"|"Бук татра"|"Инди"|"Письменный стол"|"Гербор"
"Полка -120"|"GB-0153",1,"120/38,5/27"|"Бук татра"|"Инди"|"Полка"|"Гербор"
"Стеллаж-50"|"GB-0154",1,"50/201/40"|"Бук татра"|"Инди"|"Шкаф"|"Гербор"
"Шкаф комбинированный-80"|"GB-0155",1,"80/201/40"|"Бук татра"|"Инди"|"Шкаф"|"Гербор"
"Шкаф платяной-80"|"GB-0156",1,"80/201/157"|"Бук татра"|"Инди"|"Шкаф"|"Гербор"
"JLAW 120"|"GB-0157",1,"120/55/60"|"Сосна античная/дуб шуттер"|"Индиана"|"Журнальные столики"|"Гербор"
"JKOM 4S 50"|"GB-0158",1,"50/87/40"|"Сосна античная/дуб шуттер"|"Индиана"|"комод"|"Гербор"
"JKOM 2D4S 130"|"GB-0159",1,"130/87/49,5"|"Сосна античная/дуб шуттер"|"Индиана"|"комод"|"Гербор"
"JKOM 4S 80"|"GB-0160",1,"80/87/40"|"Сосна античная/дуб шуттер"|"Индиана"|"комод"|"Гербор"
"JKOM 2D 80"|"GB-0161",1,"80/87/40"|"Сосна античная/дуб шуттер"|"Индиана"|"комод"|"Гербор"
