pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"Туалетка"|"COK-0132",1,"1200/775(1075)/465"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Туалетный столик"|"COK-0133",1,"1110/1624/355"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Тумаб приставная 1500"|"COK-0134",1,"1500/600/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба "|"COK-0135",1,"1100/480/560"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба 350/4Ш"|"COK-0136",1,"350/740/540"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба 700"|"COK-0137",1,"700/640/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба выездная"|"COK-0138",1,"400/540/430"|"Корпус: ваниль; Рамочный фасад:лосось каролина,джинс каролина"|"Твинкс"|"Детская"|"Сокме"
"Тумба для обуви"|"COK-0139",1,"800/1110/285"|"Корпус,фасад ДСП:темный венге,св.венге/яблоня,св.яблоня"|"Конго"|"Прихожая"|"Сокме"
"Тумба для обуви 110/3"|"COK-0140",1,"1100/920/400"|"Ольха/св.орех/яблоня, рамочный фасад - итальянский орех",,"Тумба"|"Сокме"
"Тумба для обуви 580/3Д"|"COK-0141",1,"580/1320/265"|"Корпус ДСП:темный венге;Фасад МДФ:св.венге"|"Ниагара"|"Прихожая"|"Сокме"
"Тумба для обуви 600/2Д/1Ш"|"COK-0142",1,"600/980/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба для обуви 70/2"|"COK-0143",1,"720/920/250"|"Ольха/св.орех/яблоня, рамочный фасад - итальянский орех",,"Тумба"|"Сокме"
"Тумба для обуви 700/2Д "|"COK-0144",1,"700/490/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба для обуви 700/2Д/2Ш"|"COK-0145",1,"700/1110/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба для обуви 700/4Д"|"COK-0146",1,"350/740/540"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба комбинированная с вешалкой"|"COK-0147",1,"500/1970/350"|"Корпус ДСП: т.венге/св.венге;ФасадДСП: св.венге"|"Толедо плюс"|"Прихожая"|"Сокме"
"Тумба навесная 560"|"COK-0148",1,"560/900/445"|"Корпус: ваниль; Рамочный фасад:лосось каролина,джинс каролина"|"Твинкс"|"Детская"|"Сокме"
"Тумба навесная 850"|"COK-0149",1,"850/900/445"|"Корпус: ваниль; Рамочный фасад:лосось каролина,джинс каролина"|"Твинкс"|"Детская"|"Сокме"
"Тумба навесная 900"|"COK-0150",1,"900/282/315"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба ночная "|"COK-0151",1,"430/490/300"|"Корпус ДСП: светлый орех; Фасад МДФ:св.яблоня/св.орех"|"Дебют"|"Спальня"|"Сокме"
"Тумба ночная(комплектуется отдельно)"|"COK-0152",1,"350/178/320"|"Корпус, фасад ДСП: венге темный/венге светлый"|"Комфорт"|"Спальня"|"Сокме"
"Тумба прикроватная"|"COK-0153",1,"328/430/275"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба приставная 700/2Д"|"COK-0154",1,"700/1310/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба приставная 700/4Д"|"COK-0155",1,"700/1310/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба приставная 900 2Ш/2Д"|"COK-0156",1,"900/1090/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба приставная 900/2Д"|"COK-0157",1,"900/1310/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба ТВ 1300/4Ш"|"COK-0158",1,"1300/560/500"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба ТВ 1350"|"COK-0159",1,"1350/480/560"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба ТВ 900"|"COK-0160",1,"900/480/560"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба ТВ+надставка 1200"|"COK-0161",1,"1200/2020/365(560)"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Тумба+зеркало"|"COK-0162",1,"550/2060/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Тумба+кровать верхняя прямая"|"COK-0163",1,"1955/1636/870"|"Корпус: ваниль; Рамочный фасад:лосось каролина,джинс каролина"|"Твинкс"|"Детская"|"Сокме"
"Угловое окончание"|"COK-0164",1,"320/2000/540"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Угловое окончание"|"COK-0165",1,"350/2385/450"|"Корпус, фасад ДСП: венге темный/венге светлый"|"Комфорт"|"Спальня"|"Сокме"
"Шкаф"|"COK-0166",1,"1350/2020/576"|"Корпус ДСП: светлый орех; Фасад МДФ:св.яблоня/св.орех"|"Дебют"|"Спальня"|"Сокме"
"Шкаф"|"COK-0167",1,"700/1970/520"|"Корпус ДСП,Фасад МДФ: ольха"|"Карина"|"Детская"|"Сокме"
"Шкаф"|"COK-0168",1,"800/2003/455"|"Корпус,фасад ДСП:темный венге,св.венге/яблоня,св.яблоня"|"Феерия"|"Прихожая"|"Сокме"
"Шкаф"|"COK-0169",1,"600/1970/350"|"Корпус ДСП: т.венге/св.венге;ФасадДСП: св.венге"|"Толедо плюс"|"Прихожая"|"Сокме"
"Шкаф 1350"|"COK-0170",1,"1350/2140/540"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Шкаф 1350/560"|"COK-0171",1,"1350/2060/580"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф 1600/560"|"COK-0172",1,"1600/2060/580"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф 1800"|"COK-0173",1,"1800/2140/540"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Шкаф 1800/560"|"COK-0174",1,"1800/2060/580"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф 450"|"COK-0176",1,"450/2020/575"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Шкаф 580/350"|"COK-0177",1,"580/2060/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф 700"|"COK-0178",1,"700/2020/575"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Шкаф 700/3Ш"|"COK-0179",1,"700/2020/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Шкаф 700/560"|"COK-0180",1,"700/2060/580"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф 800"|"COK-0181",1,"800/2200/465"|"Корпус: ваниль; Рамочный фасад:лосось каролина,джинс каролина"|"Твинкс"|"Детская"|"Сокме"
"Шкаф 800"|"COK-0182",1,"800/2016/560"|"Корпус ДСП:ваниль;Фасад ДСП:терра голубая/Терра зеленая/терра лосось"|"Детский мир"|"Детская"|"Сокме"
"Шкаф 900"|"COK-0183",1,"900/2140/540"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Шкаф 900/350"|"COK-0184",1,"900/2060/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф №2/560"|"COK-0185",1,"1200/2385/560"|"Корпус, фасад ДСП: венге темный/венге светлый"|"Комфорт"|"Спальня"|"Сокме"
"Шкаф №4/560"|"COK-0186",1,"1800/2385/450(560)"|"Корпус, фасад ДСП: венге темный/венге светлый"|"Комфорт"|"Спальня"|"Сокме"
"Шкаф №5/560"|"COK-0187",1,"1800/2385/560"|"Корпус, фасад ДСП: венге темный/венге светлый"|"Комфорт"|"Спальня"|"Сокме"
"Шкаф №6/560"|"COK-0188",1,"1800/2385/560"|"Корпус, фасад ДСП: венге темный/венге светлый"|"Комфорт"|"Спальня"|"Сокме"
"Шкаф двудверный"|"COK-0189",1,"1000/2040/540"|"Корпус ДСП, фасад МДФ: ольха/яблоня"|"Венера"|"Спальня"|"Сокме"
"Шкаф двудверный"|"COK-0190",1,"1000/2080/540"|"Корпус ДСП, фасад МДФ: ольха/яблоня"|"Миллениум"|"Спальня"|"Сокме"
"Шкаф комбинированный"|"COK-0191",1,"1130/1980/375"|"Корпус ДСП:темный венге;Фасад МДФ:св.венге"|"Ниагара"|"Прихожая"|"Сокме"
"Шкаф трехдверный"|"COK-0192",1,"1400/2040/540"|"Корпус ДСП, фасад МДФ: ольха/яблоня"|"Венера"|"Спальня"|"Сокме"
"Шкаф трехдверный"|"COK-0193",1,"1400/2145/540"|"Корпус ДСП, фасад МДФ: ольха/яблоня"|"Миллениум"|"Спальня"|"Сокме"
"Шкаф трехдверный"|"COK-0194",1,"1400/2132/540"|"Корпус ДСП:яблоня/светлый орех;Фасад МДФ: яблоня,светлая яблоня/светлый орех,светлая яблоня"|"Миллениум-2"|"Спальня"|"Сокме"
"Шкаф трехдверный+2 пенала"|"COK-0195",1,"1300/2215/580"|"Корпус ДСП:дуб шамони светлый; Фасад МДФ: дуб светлый"|"Люкс Миллениум"|"Спальня"|"Сокме"
"Шкаф угловой"|"COK-0196",1,"850*850/2060/540"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Шкаф угловой"|"COK-0197",1,"1022/2200/1022"|"Корпус: ваниль; Рамочный фасад:лосось каролина,джинс каролина"|"Твинкс"|"Детская"|"Сокме"
"Шкаф угловой 650/650"|"COK-0198",1,"650*650/2020/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Шкаф угловой 925/925"|"COK-0199",1,"925*925/2020/365"|"Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех"|"Дебют"|"Модульная система"|"Сокме"
"Шкаф угловой 925/925/350"|"COK-0200",1,"925*925/2060/370"|"корпус ДСП: светлый орех; Рамочный фасад:итальянский орех"|"Модена"|"Модульная система"|"Сокме"
"Шкаф четырехдверный"|"COK-0201",1,"1800/2040/540"|"Корпус ДСП, фасад МДФ: ольха/яблоня"|"Венера"|"Спальня"|"Сокме"
"Шкаф четырехдверный"|"COK-0202",1,"1800/2145/540"|"Корпус ДСП, фасад МДФ: ольха/яблоня"|"Миллениум"|"Спальня"|"Сокме"
"Шкаф четырехдверный"|"COK-0203",1,"1700/2132/540"|"Корпус ДСП:яблоня/светлый орех;Фасад МДФ: яблоня,светлая яблоня/светлый орех,светлая яблоня"|"Миллениум-2"|"Спальня"|"Сокме"
"Шкаф+вешалка"|"COK-0204",1,"1200/2000/360"|"Корпус,фасад ДСП:темный венге,св.венге/яблоня,св.яблоня"|"Конго"|"Прихожая"|"Сокме"
"Шкаф-стеллаж"|"COK-0205",1,"700/1970/370"|"Корпус ДСП,Фасад МДФ: ольха"|"Карина"|"Детская"|"Сокме"
"Ящик"|"COK-0206",1,"1400/210/668"|"Корпус:Красное дерево; Фасад: Кедр"|"Вероника"|"Спальня"|"Сокме"
"Альфа"|"COK-0207",1,"800/770/600"|"Корпус,фасад ДСП: т.орех/ольха/махонь/яблоня/бук"|"Альфа"|"Письменно-компьютерный стол"|"Сокме"
"СК-140(фасады)"|"COK-0208",1,"1360/785/595"|"Корпус,фасад ДСП: т.орех/ольха/махонь/яблоня/бук"|"СК-140(фасады)"|"Письменно-компьютерный стол"|"Сокме"
"СК-уг 3"|"COK-0209",1,"1350/2000(820)/900"|"Корпус,фасад ДСП: т.орех/ольха/махонь/яблоня/бук"|"СК-уг 3"|"Письменно-компьютерный стол"|"Сокме"
"СП-1К"|"COK-0210",1,"1050/765/580"|"Корпус,фасад ДСП: т.орех/ольха/махонь/яблоня/бук"|"СП-1К"|"Письменно-компьютерный стол"|"Сокме"
"Омега (фасады)"|"COK-0211",1,"1084(1184)/870/790"|"Корпус,фасад ДСП: т.орех/ольха/махонь/яблоня/бук"|"Омега (фасады)"|"Письменно-компьютерный стол"|"Сокме"
"Леон-4"|"COK-0212",1,"1700/2000(820)/600"|"Корпус,фасад ДСП: т.орех/ольха/махонь/яблоня/бук"|"Леон-4"|"Письменно-компьютерный стол"|"Сокме"
"Аризона"|"COK-0213",1,"900/640/440"|"Ольха/яблоня/т.орех"|"Аризона"|"Тумба ТВ"|"Сокме"
"Ореон"|"COK-0214",1,"800/690/460"|"Ольха/яблоня/т.орех"|"Ореон"|"Тумба ТВ"|"Сокме"
"Монте-Карло"|"COK-0215",1,"980/640/440"|"Ольха/яблоня/т.орех"|"Монте-Карло"|"Тумба ТВ"|"Сокме"
"Уран"|"COK-0216",1,"955/840/500"|"Ольха/яблоня/т.орех"|"Уран"|"Тумба ТВ"|"Сокме"
"Гармония"|"COK-0217",1,"1045/550/595"|"Темный орех/ольха/махонь/яблоня"|"Гармония"|"Журнальный столик"|"Сокме"
"Тюльпан"|"COK-0218",1,"800/640/500"|"Темный орех/ольха/махонь/яблоня"|"Тюльпан"|"Журнальный столик"|"Сокме"
"Тюльпан 2"|"COK-0219",1,"500/516/800"|"Темный венге"|"Тюльпан 2"|"Журнальный столик"|"Сокме"
"Элегия"|"COK-0220",1,"650/640/650"|"Темный орех/ольха/махонь/яблоня"|"Элегия"|"Журнальный столик"|"Сокме"
"Гостинная"|"COK-0221",1,"2450/2100/560"|"Светлый орех"|"Венеция"|"Гостинная"|"Сокме"
"ТВ"|"COK-0222",1,"1000/711/560"|"Светлый орех"|"Венеция"|"Гостинная"|"Сокме"
"Комод"|"COK-0223",1,"700/1545/450"|"Светлый орех"|"Венеция"|"Гостинная"|"Сокме"
"Шкаф"|"COK-0224",1,"700/2020/615"|"Светлый орех"|"Венеция"|"Гостинная"|"Сокме"
"Гостинная+шкаф"|"COK-0225",1,"3760/2070/600"|"Махонь"|"Ретро"|"Гостинная"|"Сокме"
"Гостинная"|"COK-0226",1,"2760/2070(1870)/600"|"Махонь"|"Ретро"|"Гостинная"|"Сокме"
"Гостинная"|"COK-0227",1,"2900/2150/620"|"Корпус ДСП: св.орех;Рамочный фасад: лесной орех"|"Астек"|"Гостинная"|"Сокме"
"Ниша для ТЫ"|"COK-0228",1,"900/706/580"|"Корпус ДСП: св.орех;Рамочный фасад: лесной орех"|"Астек"|"Гостинная"|"Сокме"
"Шкаф"|"COK-0229",1,"800/2020/590"|"Корпус:яблоня;Фасад:бук (ДСП)"|"Ольвия"|"Гостинная"|"Сокме"
"Гостинная"|"COK-0230",1,"2400/2020/560"|"Корпус:яблоня;Фасад:бук (ДСП)"|"Ольвия"|"Гостинная"|"Сокме"
"ТВ"|"COK-0231",1,"900/683/560"|"Корпус:яблоня;Фасад:бук (ДСП)"|"Ольвия"|"Гостинная"|"Сокме"
"Комод"|"COK-0232",1,"800/1040/515"|"Корпус:яблоня;Фасад:бук (ДСП)"|"Ольвия"|"Гостинная"|"Сокме"
"Пенал"|"COK-0233",1,"500/2020/515"|"Корпус:яблоня;Фасад:бук (ДСП)"|"Ольвия"|"Гостинная"|"Сокме"
"Гостинная 1"|"COK-0234",1,"2700/1980/540"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Комод 1200-2Д/3Ш"|"COK-0235",1,"1200/940/465"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Пенал 450"|"COK-0236",1,"450/1980/370"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Шкаф 900"|"COK-0237",1,"900/1980/580"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Гостинная 2"|"COK-0238",1,"2700/1980/540"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Гостинная 1 ТВ"|"COK-0239",1,"1000/720/420"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Гостинная 2 ТВ"|"COK-0240",1,"1000/720/420"|"Корпус ДСП:темный орех/св.венге; Фасад:дуб светлый/т.зебрано"|"Премьер-Элит"|"Гостинная"|"Сокме"
"Полка навесная"|"COK-0241",1,"1286/306/282"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Тумба 2Ш/3Д"|"COK-0242",1,"863/1263/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Тумба 4Ш"|"COK-0243",1,"863/898/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Тумба ТВ"|"COK-0244",1,"1287/505/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Тумба 2Ш"|"COK-0245",1,"863/505/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Шкаф 863 надст. 2Д"|"COK-0246",1,"863/1510/382"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Шкаф 863 надст. 4Д"|"COK-0247",1,"863/1510/383"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Пенал простой"|"COK-0248",1,"663/2050/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Пенал сложный"|"COK-0249",1,"663/2050/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"Тумба 2Ш"|"COK-0250",1,"863/505/456"|"Корпус ДСП: т.орех/св.венге;Фасад МДФ: св.венге"|"Молодежная"|"Гостинная"|"Сокме"
"""КОНСУЛ"" (РТВ-01)"|"RTV-0001",1,"630/650/440"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""МАКСИ-КОНСУЛ"""|"RTV-0002",1,"600/790/420"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""МИНИ-КОНСУЛ"""|"RTV-0003",1,"550/580/420"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""АМБАСАДОР"" (РТВ-02)"|"RTV-0004",1,"720/650/420"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""НОВЫЙ АМБАСАДОР"" (РТВ-04)"|"RTV-0005",1,"720/650/420"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""АМЕРИКА"" ( РТВ-03)"|"RTV-0006",1,"855/650/440"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""НОВАЯ АМЕРИКА"" (РТВ-05)"|"RTV-0007",1,"910/650/440"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ЛЮКС"" (РТВ-07)"|"RTV-0008",1,"600/770/420"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""МХ"" (РТВ-08)"|"RTV-0009",1,"600/630/420"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ВОЛНА"" (РТВ-18)"|"RTV-0010",1,"790/650/500"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""МИНИ-ВОЛНА"""|"RTV-0011",1,"600/650/500"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""РОНДО"" (РТВ-10)"|"RTV-0012",1,"780/750/480"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""РОНДО-2"" (РТВ-11) угловая"|"RTV-0013",1,"1020/680/500"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""МОНТЕ-КАРЛО"" (РТВ-06)"|"RTV-0014",1,"930/650/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""НОВ. МОНТЕ-КАРЛО"" (РТВ-25)"|"RTV-0015",1,"1000/650/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ВИКТОРИЯ"" (РТВ-15) угловая"|"RTV-0016",1,"1050/700/520"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ТРИО"" (РТВ-09)"|"RTV-0017",1,"985/970/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ТРИО-2"""|"RTV-0018",1,"1300/620/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ТРИО-3"""|"RTV-0019",1,"1140/790/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ТЕХНО"" (РТВ-26)"|"RTV-0020",1,"1040/620/440"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ТЕХНО-2"" (РТВ-27)"|"RTV-0021",1,"1070/730/470"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""БАВАРИЯ"" (РТВ-28)"|"RTV-0022",1,"900/630/520"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""КАЛИФОРНИЯ"" (РТВ-30)"|"RTV-0023",1,"730/630/440"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""КАСКАД"" (РТВ-16)"|"RTV-0024",1,"900/1350/650"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ЛОНДОН"" (РТВ-17)"|"RTV-0025",1,"900/650/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""НОВЫЙ ЛОНДОН"""|"RTV-0026",1,"900/650/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""ЛАС-ВЕГАС"" (РТВ-14)"|"RTV-0027",1,"910/660/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""НОВЫЙ ЛАС-ВЕГАС"""|"RTV-0028",1,"910/660/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""АДАМ"" (РТВ-13)"|"RTV-0029",1,"1510/1250/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"""БЛЮЗ""  (РТВ-33)"|"RTV-0030",1,"800/620/450"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"      РТВ-35"|"RTV-0031",1,"110/650/440"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Тумбы под аудио и видео аппаратуру"|"РТВ Мебель"
"СТОЛ-КНИЖКА-01"|"RTV-0032",1,"1670/780/900"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол-книжка"|"РТВ Мебель"
"СТОЛ-КНИЖКА-02"|"RTV-0033",1,"1690/750/780"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол-книжка"|"РТВ Мебель"
"СП-01"|"RTV-0034",1,"1200/775/600"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СП-02"|"RTV-0035",1,"1000/750/550"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СП-04"|"RTV-0036",1,"1225/980/530"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СПК-01"|"RTV-0037",1,"1300/750/860"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СПК-01 не стандарт"|"RTV-0038",1,"1300/750/861"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СПК-02"|"RTV-0039",1,"1350/750/800"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СПК-03"|"RTV-0040",1,"1300/750/600"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
"СПК-04"|"RTV-0041",1,"1100/750/550"|"бук/ольха/яблоня/лесной орех/орех/махонь/венге",,"Стол письменный"|"РТВ Мебель"
