parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0103|HBIU 120|GB-0103|1|70/75,5/120|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол письменный|Гербор
0104|HBIU 160|GB-0104|1|70/75,5/160|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол письменный|Гербор
0105|HKOM_3S 7/5|GB-0105|1|46/66/46,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Тумба|Гербор
0106|HBIU_1D1S|GB-0106|1|70/75,5/120|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол письменный|Гербор
0107|HBIU_2D2S|GB-0107|1|70/75,5/160|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол письменный|Гербор
0108|HLUS 8/12|GB-0108|1|112,5/79/5,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Зеркало|Гербор
0109|HLUS 8/17|GB-0109|1|167/79/5,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Зеркало|Гербор
0110|HKOM_1S 3/12|GB-0110|1|113/24,5/57,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Комод|Гербор
0111|HKOM_2S 5/12|GB-0111|1|113/45/57,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Комод|Гербор
0112|HKOM_2S 5/17|GB-0112|1|167,5/45/57,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Комод|Гербор
0113|HKOM_4S 9/12|GB-0113|1|113/86,5/40,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Комод|Гербор
0114|HKOM_4S 9/17|GB-0114|1|167,5/86,5/40,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Комод|Гербор
0115|HSU_2D 22/12|GB-0115|1|113/222,5/57,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Шкаф|Гербор
0116|HSU_3D 22/17|GB-0116|1|167,5/222,5/57,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Шкаф|Гербор
0117|HKOM_2S 4/6|GB-0117|1|58/41/40,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Тумба|Гербор
0118|HLOZ 90|GB-0118|1|98,5/37,5-73,5/206,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Кровать|Гербор
0119|HLOZ 140|GB-0119|1|148,5/37,5-73,5/206,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Кровать|Гербор
0120|HLOZ 160|GB-0120|1|168,5/37,5-73,5/206,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Кровать|Гербор
0121|HLOZ 180|GB-0121|1|188,5/37,5-73,5/206,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Кровать|Гербор
0122|HKOM_4S2FP 9/17|GB-0122|1|167,5/86,5/40,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|комод|Гербор
0123|HFD_2D 804/520|GB-0123|1|||Дорс|Фасад|Гербор
0124|HFV_2V 804/520|GB-0124|1|||Дорс|Фасад|Гербор
0125|HFD 520/520|GB-0125|1|||Дорс|Фасад|Гербор
0126|HFV 520/520|GB-0126|1|||Дорс|Фасад|Гербор
0127|HZ_2FP 6/12|GB-0127|1|112,5/58/28|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Шкафчик|Гербор
0128|HD_2FP 6/12|GB-0128|1|113/58,5/54,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Шкафчик|Гербор
0129|HZ_4FP 12/12|GB-0129|1|112,5/112,5/28|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Шкафчик|Гербор
0130|HPEG_4FP 12/12|GB-0130|1|113/113/37,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Шкафчик|Гербор
0131|HREG_S 22/6|GB-0131|1|58/222,5/37,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Пенал|Гербор
0132|HFD 1616/520|GB-0132|1|||Дорс|Фасад|Гербор
0133|HFD 520/520|GB-0133|1|||Дорс|Фасад|Гербор
0134|HFV 1616/520|GB-0134|1|||Дорс|Фасад|Гербор
0135|HPEG_P 22/6|GB-0135|1|58/222,5/37,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Пенал|Гербор
0136|HREG_P 22/12|GB-0136|1|113/222,5/37,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Пенал|Гербор
0137|HREG_S 22/6|GB-0137|1|113/222,5/37,5|Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге|Дорс|Пенал|Гербор
0138|КОМОД |GB-0138|1|76/86/44,5|Клен нида|Дрим|комод|Гербор
0139|140_k+(ламель)|GB-0139|1|158,5/39,5-85,5/218,5|Клен нида|Дрим|Кровать|Гербор
0140|160_k+(ламель)|GB-0140|1|177/39,5-85,5/218,5|Клен нида|Дрим|Кровать|Гербор
0141|180_k+(ламель)|GB-0141|1|199/39,5-85,5/218,5|Клен нида|Дрим|Кровать|Гербор
0142|Стол туалетный|GB-0142|1|103/87,5/39,5-36,5|Клен нида|Дрим|Столы|Гербор
0143|Шкаф платяной 3D_k|GB-0143|1|150/2109/60,5|Клен нида|Дрим|Шкаф|Гербор
0144|Шкаф платняой 4D_k|GB-0144|1|200/2109/60,5|Клен нида|Дрим|Шкаф|Гербор
0145|Зеркало|GB-0145|1|72/76|Клен нида|Дрим|Зеркало|Гербор
0146|Тумба прикроватная |GB-0146|1|45/46,5/36,5|Клен нида|Дрим|Тумба|Гербор
0147|Изольда|GB-0147|1|299/214/52|Ольха медовая/орех аоста темный|Изольда|Гостинная|Гербор
0148|2D2S 80|GB-0148|1|80/81,5/40|Бук татра|Инди|комод|Гербор
0149|4S 80|GB-0149|1|80/81,5/40|Бук татра|Инди|комод|Гербор
0150|4S 50|GB-0150|1|50/81,5/40|Бук татра|Инди|комод|Гербор
0151|Кровать 90 (каркас)|GB-0151|1|97,5/79,5-49,5/206,5|Бук татра|Инди|Кровать|Гербор
0152|Стол письменный 120|GB-0152|1|120/81/65|Бук татра|Инди|Письменный стол|Гербор
0153|Полка -120|GB-0153|1|120/38,5/27|Бук татра|Инди|Полка|Гербор
0154|Стеллаж-50|GB-0154|1|50/201/40|Бук татра|Инди|Шкаф|Гербор
0155|Шкаф комбинированный-80|GB-0155|1|80/201/40|Бук татра|Инди|Шкаф|Гербор
0156|Шкаф платяной-80|GB-0156|1|80/201/157|Бук татра|Инди|Шкаф|Гербор
0157|JLAW 120|GB-0157|1|120/55/60|Сосна античная/дуб шуттер|Индиана|Журнальные столики|Гербор
0158|JKOM 4S 50|GB-0158|1|50/87/40|Сосна античная/дуб шуттер|Индиана|комод|Гербор
0159|JKOM 2D4S 130|GB-0159|1|130/87/49,5|Сосна античная/дуб шуттер|Индиана|комод|Гербор
0160|JKOM 4S 80|GB-0160|1|80/87/40|Сосна античная/дуб шуттер|Индиана|комод|Гербор
0161|JKOM 2D 80|GB-0161|1|80/87/40|Сосна античная/дуб шуттер|Индиана|комод|Гербор
0162|JKOM 6S 50|GB-0162|1|50/126,5/40|Сосна античная/дуб шуттер|Индиана|комод|Гербор
0163|JLOZ_90|GB-0163|1|97,5/79,5-49,5/206,5|Сосна античная/дуб шуттер|Индиана|Кровать|Гербор
0164|JBIU 2D2S_140|GB-0164|1|140/78/65|Сосна античная/дуб шуттер|Индиана|Письменный стол|Гербор
